French,English
histoire,history
chercher,search
police,police
pensais,thought
demande,request
mois,month
frère,brother
laisser,let
car,because
laisse,leash
eux,them
chaque,each
parlé,speak
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
savais,knew
voici,here is
pourrais,could
affaire,case
leurs,their
donné,given
endroit,place
écoute,listen
dont,whose
trouve,find
main,hand
côté,side
sois,be
tiens,here
venu,came
venez,come
vers,towards
demandé,request
mis,placed
droit,law
aimerais,would like to
enfin,finally
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
loin,far
fin,end
chérie,sweetheart
filles,girls
jouer,to play
